0 iter 33: count 142, IS EVEN, proceeding
3 iter 39: count 143, IS ODD, proceeding
2 iter 38: count 144, IS EVEN, proceeding
1 iter 32: count 145, IS ODD, proceeding
2 iter 39: count 146, IS EVEN, proceeding
1 iter 33: count 147, IS ODD, proceeding
0 iter 34: count 148, IS EVEN, proceeding
3 iter 40: count 149, IS ODD, proceeding
2 iter 40: count 150, IS EVEN, proceeding
1 iter 34: count 151, IS ODD, proceeding
2 iter 41: count 152, IS EVEN, proceeding
3 iter 41: count 153, IS ODD, proceeding
2 iter 42: count 154, IS EVEN, proceeding
1 iter 35: count 155, IS ODD, proceeding
0 iter 35: count 156, IS EVEN, proceeding
1 iter 36: count 157, IS ODD, proceeding
0 iter 36: count 158, IS EVEN, proceeding
3 iter 42: count 159, IS ODD, proceeding
2 iter 43: count 160, IS EVEN, proceeding
1 iter 37: count 161, IS ODD, proceeding
0 iter 37: count 162, IS EVEN, proceeding
1 iter 38: count 163, IS ODD, proceeding
0 iter 38: count 164, IS EVEN, proceeding
1 iter 39: count 165, IS ODD, proceeding
2 iter 44: count 166, IS EVEN, proceeding
3 iter 43: count 167, IS ODD, proceeding
0 iter 39: count 168, IS EVEN, proceeding
1 iter 40: count 169, IS ODD, proceeding
2 iter 45: count 170, IS EVEN, proceeding
1 iter 41: count 171, IS ODD, proceeding
0 iter 40: count 172, IS EVEN, proceeding
1 iter 42: count 173, IS ODD, proceeding
0 iter 41: count 174, IS EVEN, proceeding
1 iter 43: count 175, IS ODD, proceeding
0 iter 42: count 176, IS EVEN, proceeding
1 iter 44: count 177, IS ODD, proceeding
2 iter 46: count 178, IS EVEN, proceeding
3 iter 44: count 179, IS ODD, proceeding
0 iter 43: count 180, IS EVEN, proceeding
1 iter 45: count 181, IS ODD, proceeding
2 iter 47: count 182, IS EVEN, proceeding
3 iter 45: count 183, IS ODD, proceeding
0 iter 44: count 184, IS EVEN, proceeding
3 iter 46: count 185, IS ODD, proceeding
2 iter 48: count 186, IS EVEN, proceeding
1 iter 46: count 187, IS ODD, proceeding
0 iter 45: count 188, IS EVEN, proceeding
3 iter 47: count 189, IS ODD, proceeding
2 iter 49: count 190, IS EVEN, proceeding
1 iter 47: count 191, IS ODD, proceeding
2 iter 50: count 192, IS EVEN, proceeding
1 iter 48: count 193, IS ODD, proceeding
0 iter 46: count 194, IS EVEN, proceeding
1 iter 49: count 195, IS ODD, proceeding
2 iter 51: count 196, IS EVEN, proceeding
1 iter 50: count 197, IS ODD, proceeding
2 iter 52: count 198, IS EVEN, proceeding
3 iter 48: count 199, IS ODD, proceeding
0 iter 47: count 200, IS EVEN, proceeding
1 iter 51: count 201, IS ODD, proceeding
2 iter 53: count 202, IS EVEN, proceeding
3 iter 49: count 203, IS ODD, proceeding
0 iter 48: count 204, IS EVEN, proceeding
1 iter 52: count 205, IS ODD, proceeding
0 iter 49: count 206, IS EVEN, proceeding
3 iter 50: count 207, IS ODD, proceeding
2 iter 54: count 208, IS EVEN, proceeding
1 iter 53: count 209, IS ODD, proceeding
0 iter 50: count 210, IS EVEN, proceeding
1 iter 54: count 211, IS ODD, proceeding
2 iter 55: count 212, IS EVEN, proceeding
3 iter 51: count 213, IS ODD, proceeding
0 iter 51: count 214, IS EVEN, proceeding
3 iter 52: count 215, IS ODD, proceeding
2 iter 56: count 216, IS EVEN, proceeding
1 iter 55: count 217, IS ODD, proceeding
0 iter 52: count 218, IS EVEN, proceeding
3 iter 53: count 219, IS ODD, proceeding
2 iter 57: count 220, IS EVEN, proceeding
1 iter 56: count 221, IS ODD, proceeding
0 iter 53: count 222, IS EVEN, proceeding
1 iter 57: count 223, IS ODD, proceeding
0 iter 54: count 224, IS EVEN, proceeding
1 iter 58: count 225, IS ODD, proceeding
0 iter 55: count 226, IS EVEN, proceeding
1 iter 59: count 227, IS ODD, proceeding
2 iter 58: count 228, IS EVEN, proceeding
1 iter 60: count 229, IS ODD, proceeding
0 iter 56: count 230, IS EVEN, proceeding
3 iter 54: count 231, IS ODD, proceeding
2 iter 59: count 232, IS EVEN, proceeding
1 iter 61: count 233, IS ODD, proceeding
0 iter 57: count 234, IS EVEN, proceeding
1 iter 62: count 235, IS ODD, proceeding
2 iter 60: count 236, IS EVEN, proceeding
1 iter 63: count 237, IS ODD, proceeding
0 iter 58: count 238, IS EVEN, proceeding
3 iter 55: count 239, IS ODD, proceeding
0 iter 59: count 240, IS EVEN, proceeding
3 iter 56: count 241, IS ODD, proceeding
2 iter 61: count 242, IS EVEN, proceeding
1 iter 64: count 243, IS ODD, proceeding
0 iter 60: count 244, IS EVEN, proceeding
1 iter 65: count 245, IS ODD, proceeding
2 iter 62: count 246, IS EVEN, proceeding
1 iter 66: count 247, IS ODD, proceeding
2 iter 63: count 248, IS EVEN, proceeding
3 iter 57: count 249, IS ODD, proceeding
0 iter 61: count 250, IS EVEN, proceeding
1 iter 67: count 251, IS ODD, proceeding
0 iter 62: count 252, IS EVEN, proceeding
3 iter 58: count 253, IS ODD, proceeding
2 iter 64: count 254, IS EVEN, proceeding
1 iter 68: count 255, IS ODD, proceeding
0 iter 63: count 256, IS EVEN, proceeding
3 iter 59: count 257, IS ODD, proceeding
2 iter 65: count 258, IS EVEN, proceeding
1 iter 69: count 259, IS ODD, proceeding
0 iter 64: count 260, IS EVEN, proceeding
3 iter 60: count 261, IS ODD, proceeding
2 iter 66: count 262, IS EVEN, proceeding
1 iter 70: count 263, IS ODD, proceeding
2 iter 67: count 264, IS EVEN, proceeding
1 iter 71: count 265, IS ODD, proceeding
2 iter 68: count 266, IS EVEN, proceeding
3 iter 61: count 267, IS ODD, proceeding
0 iter 65: count 268, IS EVEN, proceeding
1 iter 72: count 269, IS ODD, proceeding
2 iter 69: count 270, IS EVEN, proceeding
3 iter 62: count 271, IS ODD, proceeding
0 iter 66: count 272, IS EVEN, proceeding
1 iter 73: count 273, IS ODD, proceeding
2 iter 70: count 274, IS EVEN, proceeding
1 iter 74: count 275, IS ODD, proceeding
0 iter 67: count 276, IS EVEN, proceeding
3 iter 63: count 277, IS ODD, proceeding
2 iter 71: count 278, IS EVEN, proceeding
1 iter 75: count 279, IS ODD, proceeding
0 iter 68: count 280, IS EVEN, proceeding
1 iter 76: count 281, IS ODD, proceeding
2 iter 72: count 282, IS EVEN, proceeding
1 iter 77: count 283, IS ODD, proceeding
0 iter 69: count 284, IS EVEN, proceeding
1 iter 78: count 285, IS ODD, proceeding
2 iter 73: count 286, IS EVEN, proceeding
1 iter 79: count 287, IS ODD, proceeding
0 iter 70: count 288, IS EVEN, proceeding
1 iter 80: count 289, IS ODD, proceeding
0 iter 71: count 290, IS EVEN, proceeding
3 iter 64: count 291, IS ODD, proceeding
0 iter 72: count 292, IS EVEN, proceeding
1 iter 81: count 293, IS ODD, proceeding
2 iter 74: count 294, IS EVEN, proceeding
3 iter 65: count 295, IS ODD, proceeding
0 iter 73: count 296, IS EVEN, proceeding
3 iter 66: count 297, IS ODD, proceeding
2 iter 75: count 298, IS EVEN, proceeding
1 iter 82: count 299, IS ODD, proceeding
0 iter 74: count 300, IS EVEN, proceeding
3 iter 67: count 301, IS ODD, proceeding
2 iter 76: count 302, IS EVEN, proceeding
1 iter 83: count 303, IS ODD, proceeding
0 iter 75: count 304, IS EVEN, proceeding
1 iter 84: count 305, IS ODD, proceeding
0 iter 76: count 306, IS EVEN, proceeding
3 iter 68: count 307, IS ODD, proceeding
0 iter 77: count 308, IS EVEN, proceeding
3 iter 69: count 309, IS ODD, proceeding
2 iter 77: count 310, IS EVEN, proceeding
1 iter 85: count 311, IS ODD, proceeding
0 iter 78: count 312, IS EVEN, proceeding
3 iter 70: count 313, IS ODD, proceeding
2 iter 78: count 314, IS EVEN, proceeding
3 iter 71: count 315, IS ODD, proceeding
0 iter 79: count 316, IS EVEN, proceeding
3 iter 72: count 317, IS ODD, proceeding
2 iter 79: count 318, IS EVEN, proceeding
1 iter 86: count 319, IS ODD, proceeding
0 iter 80: count 320, IS EVEN, proceeding
